StockCode,Name,Description,Price
1000,Super Mario 64 DS,Action,24.95
1001,Lumines: Puzzle Fusion,Strategy,14.95
1002,WarioWare Touched!,"Action,Racing / Driving,Sports",22.95
1003,Hot Shots Golf: Open Tee,Sports,12.95
1004,Spider-Man 2,Action,14.95
1005,The Urbz: Sims in the City,Simulation,12.95
1006,Ridge Racer,Racing / Driving,19.95
1007,Metal Gear Ac!d,Strategy,17.95
1008,Madden NFL 2005,Sports,8.95
1009,Pokmon Dash,Racing / Driving,24.95
1010,Dynasty Warriors,"Action,Adventure,Role-Playing (RPG)",14.95
1011,Feel the Magic XY/XX,"Action,Adventure,Racing / Driving,Sports",8.95
1012,Ridge Racer DS,Racing / Driving,9.95
1013,Darkstalkers Chronicle: The Chaos Tower,Action,14.95
1014,Ape Escape Academy,"Action,Sports",14.95
1015,Polarium,Strategy,8.95
1016,Asphalt: Urban GT,"Racing / Driving,Simulation",14.95
1017,Zoo Keeper,Action,14.95
1018,Mr. DRILLER: Drill Spirits,Action,14.95
1019,Sprung,Adventure,8.95
1020,Armored Core: Formula Front - Extreme Battle,"Action,Strategy",16.95
1021,Puyo Pop Fever,"Action,Strategy",19.95
1022,Mario Kart DS,Racing / Driving,29.95
1023,Nintendogs,Simulation,26.95
1024,Brain Age: Train Your Brain in Minutes a Day!,Action,17.95
1025,Brain Agey: More Training in Minutes a Day!,Action,17.95
1026,Grand Theft Auto: Liberty City Stories,"Action,Racing / Driving",17.95
1027,Animal Crossing: Wild World,Simulation,24.95
1028,Big Brain Academy,Action,16.95
1029,Call of Duty 2,Action,17.95
1030,Midnight Club 3: DUB Edition,Racing / Driving,14.95
1031,Need for Speed: Most Wanted 5-1-0,Racing / Driving,14.95
1032,Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),14.95
1033,Sonic Rush,Action,14.95
1034,Star Wars: Battlefront II,Action,16.95
1035,SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,14.95
1036,Need for Speed: Most Wanted,Racing / Driving,17.95
1037,Zoo Tycoon DS,"Simulation,Strategy",12.95
1038,The Sims 2,"Role-Playing (RPG),Simulation",17.95
1039,Mario & Luigi: Partners in Time,"Action,Role-Playing (RPG)",29.95
1040,Madden NFL 06,Sports,7.95
1041,Need for Speed Underground: Rivals,Racing / Driving,17.95
1042,Twisted Metal: Head-On,"Action,Racing / Driving",14.95
1043,Perfect Dark Zero,Action,17.95
1044,Super Monkey Ball: Touch & Roll,Action,15.95
1045,Super Princess Peach,Action,29.95
1046,Burnout Legends,"Action,Racing / Driving",14.95
1047,Madden NFL 06,Sports,4.95
1048,Clubhouse Games,Strategy,17.95
1049,ATV Offroad Fury: Blazin' Trails,"Racing / Driving,Sports",12.95
1050,Untold Legends: Brotherhood of the Blade,"Action,Role-Playing (RPG)",12.95
1051,Tony Hawk's Underground 2: Remix,Sports,14.95
1052,The Sims 2,"Simulation,Strategy",14.95
1053,WipEout Pure,"Action,Racing / Driving",12.95
1054,NBA Live 06,Sports,9.95
1055,WWE Smackdown vs. Raw 2006,"Action,Sports",14.95
1056,Dead or Alive 4,Action,17.95
1057,Phoenix Wright: Ace Attorney,"Adventure,Simulation",24.95
1058,Spider-Man 2,Action,14.95
1059,NFL Street 2,Sports,17.95
1060,Kirby: Canvas Curse,Action,17.95
1061,Battlefield 2: Modern Combat,Action,16.95
1062,Yoshi Touch & Go,Action,17.95
1063,Tiger Woods PGA Tour 06,Sports,9.95
1064,Condemned: Criminal Origins,"Action,Adventure",14.95
1065,Peter Jackson's King Kong: The Official Game of...,Action,14.95
1066,Castlevania: Dawn of Sorrow,"Action,Role-Playing (RPG)",17.95
1067,SpongeBob SquarePants: The Yellow Avenger,Action,13.95
1068,Marvel Nemesis: Rise of the Imperfects ,Action,17.95
1069,Kameo: Elements of Power,Action,11.95
1070,Advance Wars: Dual Strike,Strategy,17.95
1071,Trauma Center: Under the Knife,"Action,Simulation",15.95
1072,Coded Arms,Action,12.95
1073,NBA LIVE 06 ,Sports,4.95
1074,Tony Hawk's American Wasteland,Sports,14.95
1075,Star Wars: Episode III - Revenge of the Sith,Action,16.95
1076,Capcom Classics Collection Remixed,Action,17.95
1077,Madagascar,Adventure,14.95
1078,X-Men: Legends II - Rise of Apocalypse,"Action,Role-Playing (RPG)",17.95
1079,Quake 4,Action,14.95
1080,Pokmon Trozei!,Strategy,19.95
1081,Need for Speed: Most Wanted,Racing / Driving,15.95
1082,Mega Man Maverick Hunter X,Action,17.95
1083,Metroid Prime Pinball,"Action,Simulation",17.95
1084,NBA 06,Sports,9.95
1085,GUN ,"Action,Racing / Driving,Role-Playing (RPG)",19.95
1086,NBA 2K6 ,Sports,4.95
1087,Pinball Hall of Fame: The Gottlieb Collection,Action,9.95
1088,Harry Potter and the Goblet of Fire,Action,17.95
1089,Tony Hawk's American Sk8land,Sports,16.95
1090,MVP Baseball,Sports,4.95
1091,Tiger Woods PGA Tour,Sports,17.95
1092,World Series of Poker,"Sports,Strategy",14.95
1093,SSX on Tour,Sports,16.95
